City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-3.2,66,95,1.79,SJ,1699818106
1,georgetown,5.4112,100.3354,27.79,92,20,1.54,MY,1699817956
2,puerto natales,-51.7236,-72.4875,13.25,47,75,9.77,CL,1699818107
3,yellowknife,62.456,-114.3525,-5.88,96,100,9.26,CA,1699818108
4,ilulissat,69.2167,-51.1,-9.99,62,75,0.0,GL,1699818108
5,paka,4.6374,103.4368,24.96,94,63,0.0,MY,1699818108
6,blackmans bay,-43.0167,147.3167,9.74,75,8,0.45,AU,1699818109
7,port-aux-francais,-49.35,70.2167,5.99,91,100,11.63,TF,1699818110
8,palmas,-10.2128,-48.3603,35.93,38,0,2.06,BR,1699818110
9,nar'yan-mar,67.6713,53.087,-8.27,94,16,2.68,RU,1699818111
10,invercargill,-46.4,168.35,11.12,96,100,1.34,NZ,1699818112
11,waitangi,-43.9535,-176.5597,13.23,82,98,3.13,NZ,1699818112
12,punta arenas,-53.15,-70.9167,13.06,44,75,15.43,CL,1699818044
13,tual,-5.6667,132.75,27.85,79,55,5.71,ID,1699818113
14,tsiombe,-25.3,45.4833,21.96,74,0,1.42,MG,1699818114
15,bredasdorp,-34.5322,20.0403,14.1,80,0,1.11,ZA,1699818114
16,adamstown,-25.066,-130.1015,22.74,82,100,8.04,PN,1699818114
17,nyurba,63.2842,118.3319,-22.01,100,97,1.3,RU,1699818115
18,andergrove,-21.0833,149.1833,19.8,67,23,3.9,AU,1699818115
19,grytviken,-54.2811,-36.5092,4.75,82,100,1.9,GS,1699818116
20,naze,28.3667,129.4833,16.51,70,53,7.42,JP,1699818116
21,port elizabeth,-33.918,25.5701,16.16,79,0,4.63,ZA,1699818117
22,teluknaga,-6.0989,106.6381,29.1,94,20,2.57,ID,1699818117
23,afaahiti,-17.75,-149.2833,27.93,82,22,4.07,PF,1699818118
24,aliveri,38.4167,24.0333,20.14,69,74,3.11,GR,1699818104
25,george town,5.4112,100.3354,27.79,92,20,1.54,MY,1699817834
26,stanley,54.868,-1.6985,6.54,94,75,3.6,GB,1699818119
27,sisimiut,66.9395,-53.6735,-7.91,83,90,4.22,GL,1699818120
28,hawaiian paradise park,19.5933,-154.9731,27.15,72,75,0.89,US,1699818120
29,labrador city,52.9463,-66.9114,-5.05,74,100,6.69,CA,1699818121
30,albany,42.6001,-73.9662,6.0,54,9,0.89,US,1699818121
31,lagos,6.5833,3.75,26.37,89,37,2.45,NG,1699817867
32,juan rodriguez clara,17.9833,-95.4083,25.03,88,93,7.27,MX,1699818122
33,ulety,51.3572,112.4849,-11.43,92,6,1.69,RU,1699818123
34,khandyga,62.6667,135.6,-23.04,99,100,0.64,RU,1699818124
35,east london,-33.0153,27.9116,16.27,71,1,5.42,ZA,1699818124
36,bethel,41.3712,-73.414,7.34,56,0,2.57,US,1699818125
37,chibougamau,49.9168,-74.3659,-4.21,86,100,2.57,CA,1699818126
38,singaraja,-8.112,115.0882,26.32,82,12,1.74,ID,1699818126
39,port mathurin,-19.6833,63.4167,24.89,81,0,2.54,MU,1699818127
40,longyearbyen,78.2186,15.6401,-0.09,59,75,5.66,SJ,1699818128
41,thompson,55.7435,-97.8558,-1.91,93,100,3.09,CA,1699818128
42,kayar,14.9192,-17.1211,27.53,59,72,4.51,SN,1699818129
43,fale old settlement,-9.3852,-171.2468,28.66,72,71,0.97,TK,1699818129
44,yemetsk,63.4721,41.7941,-4.79,77,33,3.98,RU,1699818130
45,antonio enes,-16.2325,39.9086,25.97,78,10,4.16,MZ,1699818131
46,plettenberg bay,-34.0527,23.3716,13.73,78,0,2.29,ZA,1699818091
47,kabinda,-6.1333,24.4833,18.39,99,97,1.41,CD,1699818132
48,bereket,39.2446,55.5154,14.54,50,0,6.46,TM,1699818133
49,jamestown,42.097,-79.2353,10.01,48,0,1.34,US,1699818107
50,edinburgh of the seven seas,-37.0676,-12.3116,14.16,82,6,8.59,SH,1699818134
51,ust-nera,64.5667,143.2,-24.47,99,100,1.02,RU,1699818134
52,puerto ayora,-0.7393,-90.3518,29.98,88,40,2.68,EC,1699818135
53,talnakh,69.4865,88.3972,-2.66,95,100,4.97,RU,1699818135
54,kirgiz-miyaki,53.6324,54.7979,2.03,83,100,3.91,RU,1699818136
55,palmer,42.1584,-72.3287,6.7,49,4,0.45,US,1699818056
56,ribeira grande,38.5167,-28.7,21.22,88,75,10.29,PT,1699818137
57,natal,-5.795,-35.2094,29.36,65,20,8.23,BR,1699817872
58,anzio,41.4853,12.6179,15.0,99,0,3.36,IT,1699818138
59,tiksi,71.6872,128.8694,-15.58,90,100,7.28,RU,1699818138
60,constantia,44.1833,28.65,5.38,44,97,4.71,RO,1699818139
61,west island,-12.1568,96.8225,25.99,89,75,3.6,CC,1699818139
62,pinheiro machado,-31.5783,-53.3811,15.97,98,100,4.33,BR,1699818141
63,agat village,13.3886,144.6585,28.52,87,20,5.14,GU,1699818142
64,avarua,-21.2078,-159.775,22.03,68,100,4.12,CK,1699818142
